#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
EVTDESC69000;The lifestyle of a childless courtier has made me suspect that he fancies other men!;;;;;;;;;;;Îáðàç æèçíè áåçäåòíîãî ïðèäâîðíîãî çàñòàâèë ìåíÿ ïîäîçðåâàòü, ÷òî îí ôàíòàçèðóåò î äðóãèõ ìóæ÷èíàõ!;;x
EVTDESC69060;The lack of piety I have observed in one of the courtiers makes me worried. I wouldn't want to accuse anyone of not being a good Christian, but if my suspicions are correct then something needs to be done!;;;;;;;;;;;Îòñóòñòâèå áëàãî÷åñòèÿ, êîòîðîå ÿ íàáëþäàþ â îäíîì èç ïðèäâîðíûõ, çàñòàâëÿåò ìåíÿ áåñïîêîèòüñÿ. ß íå õî÷ó îáâèíÿòü íèêîãî â òîì, ÷òî òîò íå ÿâëÿåòñÿ äîáðûì Õðèñòèàíèíîì, íî åñëè ìîè ïîäîçðåíèÿ âåðíû, òî íóæíî ÷òî-òî äåëàòü!;;x
EVTDESC69061;Religion has never been one of my great strengths, I do believe in a God but I have trouble accepting all the rituals and demands the priests of the [Root.Religion.GetName] faith feel necessary. [From.GetTitledFirstName] confronted me about this, I hadn't even realized my lack of piety was so noticeable.;;;;;;;;;;;Ðåëèãèÿ íèêîãäà íå áûëà îäíîé èç ìîèõ ñèëüíûõ ñòîðîí, ÿ âåðþ â Áîãà, íî ó ìåíÿ åñòü ïðîáëåìû ñ ðàñïîçíàâàíèåì âñåõ íåîáõîäèìûõ ðèòóàëîâ è òðåáîâàíèé ñâÿùåííèêîâ, ïðîïîâåäóþùèõ [Root.GetReligionFullName]. ß äàæå íå çíàë[Root.GetEndA], ÷òî íåäîñòàòîê áëàãî÷åñòèÿ ñ ìîåé ñòîðîíû áûë òàê çàìåòåí, ïîêà [From.GetTitledFirstName] íå óïðåêíóë[From.GetEndA] ìåíÿ â ýòîì.;;x
EVTDESC69062;All those rituals and demands the priests of the [Root.Religion.GetName] Church feel necessary to prove one's piety is pure nonsense. Despite my feelings about those unnecessary, empty gestures I have always been careful to not show my lack of piety, but perhaps not careful enough. If I don't pay [From.GetTitledFirstName] fifty gold [From.GetSheHe] will expose my lack of faith to everyone!;;;;;;;;;;;Âñå ýòè ðèòóàëû è òðåáîâàíèÿ öåðêâè, êîòîðûå ñâÿùåííèêè, ïðîïîâåäóþùèå [Root.GetReligionFullName], ñ÷èòàþò íåîáõîäèìûìè äëÿ äîêàçàòåëüñòâà ñâîåãî áëàãî÷åñòèÿ - ÷èñòàÿ áåññìûñëèöà. Íåñìîòðÿ íà ìî¸ îòíîøåíèå ê ýòèì íåíóæíûì, ïóñòûì æåñòàì, ÿ âñåãäà áûë[Root.GetEndA] îñòîðîæ[Root.GetNaEn], ÷òîáû íå ïîêàçàòü îòñóòñòâèå áëàãî÷åñòèÿ, íî, âîçìîæíî, ïðîÿâèë[Root.GetEndA] ïðè ýòîì íåäîñòàòî÷íîå âíèìàíèå. Åñëè [From.GetTitledFirstName] íå ïîëó÷èò îò ìåíÿ ïÿòüäåñÿò çîëîòûõ, òî [From.GetSheHe] ðàññêàæåò âñåì îá îòñóòñòâèè âåðû ó ìåíÿ!;;x
EVTDESC69064;Why will you burn in hell?', my child asked me. The rumors of my lack of piety had obviously spread throughout the castle and now even my children have heard about it.;;;;;;;;;;;Ïî÷åìó òû áóäåøü ãîðåòü â àäó? — ñïðîñèë ìåíÿ ìîé ðåá¸íîê. Ñëóõè î òîì, ÷òî ìíå íåäîñòà¸ò âåðû, ïîëó÷èëè ðàñïðîñòðàíåíèå, òåïåðü äàæå ìîè äåòè óñëûøàëè îá ýòîì.;;x
EVTDESC69065;Now even the Pope has heard about my lack of piety! Officially, the Pope sent the legate to make sure the bonds between the Pope and the [Root.Religion.GetName] Church in [Root.Location.GetName] is still strong despite my lack of piety but unofficially, the legate was there to give me a stern speech about my lack of faith.;;;;;;;;;;;Íó âîò! Òåïåðü äàæå Ïàïà Ðèìñêèé çíàåò î òîì, ÷òî ìíå íåäîñòà¸ò áëàãî÷åñòèÿ! Îôèöèàëüíî, Ïàïà ïîñëàë ëåãàòà ÷òîáû óáåäèòüñÿ, ÷òî [Root.GetReligionFullName] è âëèÿíèå Ðèìà ïî-ïðåæíåìó ñèëüíû â îáëàñòè [Root.Location.GetName], íåñìîòðÿ íà íåõâàòêó áëàãî÷åñòèÿ ñ ìîåé ñòîðîíû. Íåîôèöèàëüíî æå, ëåãàò áûë ïîñëàí ñ öåëüþ íàêîðìèòü ìåíÿ íðàâîó÷åíèÿìè, ïîíîñÿùèìè ìî¸ íåâåðèå.;;x
EVTDESC69066;Now even the Caliph has heard about my lack of piety! The Caliph's messenger was there to give me a stern speech about my lack of faith and to make sure the bonds between the Caliph and the [Root.Religion.GetName] Church in [Root.Location.GetName] is still strong despite my lack of piety.;;;;;;;;;;;Òåïåðü äàæå õàëèô ïðîñëûøàë î ìî¸ì áåñ÷åñòèè! Ïðèáûë ïîñëàííèê õàëèôà è ñäåëàë ìíå ñòðîãèé âûãîâîð ïî ïîâîäó ìîåãî íåâåðèÿ. Îí òàêæå óáåäèëñÿ, ÷òî ñâÿçü ìåæäó õàëèôîì è èìàìàìè, èñïîâåäóþùèìè [Root.GetReligionFullName], îêðóãà [Root.Location.GetName] âñ¸ åù¸ ñèëüíà, íåñìîòðÿ íà îòñóòñòâèå ó ìåíÿ áëàãî÷åñòèÿ.;;x
EVTDESC69070;The man is a coward, that's for certain! He can't fight, shadows and loud noises frighten him and blood makes him faint.;;;;;;;;;;;Ýòîò ÷åëîâåê - òðóñ, ýòî òî÷íî! Îí íå óìååò äðàòüñÿ, òåíè è ãðîìêèå çâóêè ïóãàþò åãî, à îò âèäà êðîâè îí ãîòîâ îáìî÷èòüñÿ.;;x
EVTDESC69071;I gave a small shriek when [From.GetTitledFirstName] touched my arm, which didn't really help when I tried to defend myself from [From.GetHerHis] accusations about my cowardice...;;;;;;;;;;;Ìåíÿ ïåðåäåðíóëî îò íåîæèäàííîãî ïðèêîñíîâåíèÿ ê ïëå÷ó. Òåïåðü [From.GetTitledFirstName] íè çà ÷òî íå ïîâåðèò, ÷òî ñëóõ î ìîåé òðóñëèâîñòè - ïðåóâåëè÷åíèå.;;x
EVTDESC69072;'Fifty gold', [From.GetTitledFirstName] told me.\n'Fifty gold or I tell everyone what a coward you are...';;;;;;;;;;;"\n""Ïÿòüäåñÿò ìîíåò"", - øåïíóë[From.GetEndA] ìíå [From.GetTitledFirstName].\n""Ïÿòüäåñÿò çîëîòûõ èëè ÿ ðàññêàæó âñåì, ÷òî Âû - òðóñ..."".";;x
EVTDESC69074;The soldiers watched me while I practised with my sword and one of them asked when I had finished why I was taking unnecessary risks when practising with the sword.;;;;;;;;;;;Ñîëäàòû ñìîòðåëè íà ìåíÿ, ïîêà ÿ çàíèìàëñÿ ñ ìå÷îì, è, êîãäà ÿ çàêîí÷èë, îäèí èç íèõ ñïðîñèë, ïî÷åìó ÿ èäó íà íåíóæíûé ðèñê ïðè óïðàæíåíèè ñ ìå÷îì.;;x
EVTDESC69075;Women laugh behind your back', someone told me.\n'Women laugh behind your back because of your reputation of being a coward'.;;;;;;;;;;;" ""Æåíùèíû ñìåþòñÿ çà òâîåé ñïèíîé"", — ñêàçàë ìíå êòî-òî.\nÆåíñêèé ñìåõ ðàçäà¸òñÿ çà Âàøåé ñïèíîé ïîòîìó, ÷òî Âû èìååòå ðåïóòàöèþ òðóñà.";;x
EVTDESC69076;I have finally proven my bravery!;;;;;;;;;;;ß, íàêîíåö, äîêàçàë ñâîþ õðàáðîñòü!;;x
EVTDESC69080;Everyone at court believes I am a sodomite!;;;;;;;;;;;Âåñü äâîð âåðèò â òî, ÷òî ÿ - ñîäîìèò!;;x
EVTDESC69081;Everyone at court believes that my sister and I has an incestuous affair!;;;;;;;;;;;Âåñü äâîð âåðèò â òî, ÷òî ìîÿ ñåñòðà è ÿ èìååì êðîâîñìåñèòåëüíóþ ñâÿçü!;;x
EVTDESC69082;My wife and I have been unable to conceive a child, and now everyone believes I am impotent!;;;;;;;;;;;Ìîÿ æåíà è ÿ íèêàê íå ìîæåì çà÷àòü ðåá¸íêà, è òåïåðü êàæäûé óâåðåí â òîì, ÷òî ÿ íå ñïîñîáåí èìåòü äåòåé!;;x
EVTDESC69083;Rumours at the court suggests that I have been unfaithful and committed adultery with one of the ladies.;;;;;;;;;;;Ñëóõè ïðè äâîðå ãîâîðÿò, ÷òî ÿ ïðåëþáîäåé, è èìåë ñâÿçü ñ îäíîé èç ïðèäâîðíûõ äàì.;;x
EVTDESC69084;My harmless experiments and interest in science has led to rumors erupting in court about me being an occultist!;;;;;;;;;;;Ìîè áåçîáèäíûå ýêñïåðèìåíòû è èíòåðåñ ê íàóêå, ïðèâåëè ê ðàçãóëó ïðè äâîðå ñëóõîâ î òîì, ÷òî ÿ - îêêóëüòèñò!;;x
EVTDESC69085;[From.GetTitledFirstName]'s distrust in me as [From.GetHerHis] [Root.GetChancellorName] has made everyone in court dislike me!;;;;;;;;;;;[From.GetTitledFirstName] íå âåðèò, ÷òî ÿ õîðîøèé [Root.GetMyChancellorName]. Ýòî çàñòàâèëî âåñü äâîð íåäîëþáëèâàòü ìåíÿ!;;x
EVTDESC69086;[From.GetTitledFirstName]'s distrust in me as [From.GetHerHis] Marshal has made everyone in court dislike me!;;;;;;;;;;;[From.GetTitledFirstName] íå âåðèò, ÷òî ÿ õîðîøèé [From.GetMarshalName]. Ýòî çàñòàâèëî âåñü äâîð íåäîëþáëèâàòü ìåíÿ!;;x
EVTDESC69087;[From.GetTitledFirstName]'s distrust in me as [From.GetHerHis] Steward has made everyone in court dislike me!;;;;;;;;;;;[From.GetTitledFirstName] íå âåðèò, ÷òî ÿ õîðîøèé [Root.GetTreasurerName]. Ýòî çàñòàâèëî âåñü äâîð íåäîëþáëèâàòü ìåíÿ!;;x
EVTDESC69088;[From.GetTitledFirstName]'s distrust in me as [From.GetHerHis] Spymaster has made everyone in court dislike me!;;;;;;;;;;;[From.GetTitledFirstName] íå âåðèò, ÷òî ÿ õîðîøèé [Root.GetSpymasterName]. Ýòî çàñòàâèëî âåñü äâîð íåäîëþáëèâàòü ìåíÿ!;;x
EVTDESC69089;[From.GetTitledFirstName]'s distrust in me as [From.GetHerHis] [From.GetLordSpiritualName] has made everyone in court dislike me!;;;;;;;;;;;"[From.GetTitledFirstName] íå âåðèò, ÷òî äîëæíîñòü ""[From.GetLordSpiritualName]"" ïîäõîäèò ìíå. Ýòî çàñòàâèëî âåñü äâîð íåäîëþáëèâàòü ìåíÿ!";;x
EVTDESC69090;Somehow the rumors at court is all about me lacking piety!;;;;;;;;;;;Òàê èëè èíà÷å, ñëóõè ïðè äâîðå óòâåðæäàþò, ÷òî ìíå íå õâàòàåò áëàãî÷åñòèÿ!;;x
EVTDESC69091;Everybody 'knows' I am a big, fat coward!;;;;;;;;;;;"Êàæäûé ""çíàåò"", ÷òî ÿ - áîëüøîé, òîëñòûé òðóñ!";;x
EVTDESC69095;It seems to me [Root.job_spiritual.GetTitledFirstName] isn't as pious as [Root.job_spiritual.GetSheHe] claims to be. Instead of improving relations with the imams, [Root.job_spiritual.GetTitledFirstName] managed to make an utter fool out of [Root.job_spiritual.GetHerselfHimself] and, indirectly, me!;;;;;;;;;;;Ìíå êàæåòñÿ, ÷òî [Root.job_spiritual.GetTitledFirstName] íå òàê áëàãî÷åñòèâ, êàê [Root.job_spiritual.GetSheHe] óòâåðæäàåò. Âìåñòî óëó÷øåíèÿ âçàèìîîòíîøåíèé ñ èìàìàìè, [Root.job_spiritual.GetTitledFirstName] ëèøü âûñòàâèë ñåáÿ äóðàêîì, à òàêæå, êîñâåííî, è ìåíÿ!;;x
EVTDESC69096;[Root.GetTitledFirstName] was a bit too harsh when [Root.GetSheHe] chastised me for ruining the relations with the imams! Although, I admit, I should probably have chosen less unconventional ways of assuring their support...;;;;;;;;;;;[Root.GetTitledFirstName] áûë èçëèøíå ðåçîê, ðàñïåêàÿ ìåíÿ çà èñïîð÷åííûå îòíîøåíèÿ ñ èìàìàìè! Õîòÿ, íàäî ïðèçíàòü, âåðîÿòíî, ìíå ñëåäîâàëî áû âûáðàòü íå òàêèå ñîìíèòåëüíûå ñïîñîáû äîáèòüñÿ èõ ïîääåðæêè...;;x
EVTDESC69100;The lack of piety I have observed in one of the courtiers makes me worried. I wouldn't want to accuse anyone of not being a good Muslim, but if my suspicions are correct then something needs to be done!;;;;;;;;;;;Ìåíÿ áåñïîêîèò íåäîñòàòî÷íàÿ íàáîæíîñòü ó îäíîãî èç ìîèõ ïðèäâîðíûõ. Íå õîòåëîñü áû íèêîãî îáâèíÿòü, ÷òî íå ÿâëÿåòñÿ ïðàâåäíûì ìóñóëüìàíèíîì, íî åñëè ìîè ïîäîçðåíèÿ âåðíû, íóæíî ÷òî-òî äåëàòü!;;x
EVTDESC69101;Faith has never been one of my great strengths, I do believe in Allah but I have trouble accepting all the rituals and demands the imams feel necessary. [From.GetTitledFirstName] confronted me about this, I hadn't even realized my lack of piety was so noticeable.;;;;;;;;;;;Ðåëèãèÿ íèêîãäà íå áûëà ìîåé ñèëüíîé ñòîðîíîé. ß âåðþ â Àëëàõà, íî ó ìåíÿ åñòü ïðîáëåìû ñ èñïîëíåíèåì âñåõ òåõ ðèòóàëîâ è òðåáîâàíèé, êîòîðûå èìàìû ñ÷èòàþò íåîáõîäèìûìè. ß äàæå íå ïîíèìàë[Root.GetEndA], ÷òî ìîÿ íåäîñòàòî÷íàÿ íàáîæíîñòü ñòîëü çàìåòíà, ïîêà [From.GetTitledFirstName] íå ïîñòàâèë[From.GetEndA] ìåíÿ ïåðåä ôàêòîì.;;x
EVTDESC69102;All those rituals and demands the imams feel necessary to prove one's piety is pure nonsense. Despite my feelings about those unnecessary, empty gestures I have always been careful to not show my lack of piety, but perhaps not careful enough. If I don't pay [From.GetTitledFirstName] fifty gold [From.GetSheHe] will expose my lack of faith to everyone!;;;;;;;;;;;Âñå ýòè ðèòóàëû, òðåáîâàíèÿ èìàìîâ, íåîáõîäèìîñòü ïîêàçûâàòü ñâî¸ áëàãî÷åñòèå - ÷èñòàÿ áåññìûñëèöà. Íåñìîòðÿ íà ñâîè ÷óâñòâà ïî ïîâîäó âñåõ íåíóæíûõ, ïóñòûõ æåñòîâ, ÿ âñåãäà áûë îñòîðîæåí, è íå ïîêàçûâàë ñâî¸ îòñóòñòâèå áëàãî÷åñòèÿ, íî, ïî-âèäèìîìó, âñ¸ æå áûë íåäîñòàòî÷íî âíèìàòåëåí. Åñëè [From.GetTitledFirstName] íå ïîëó÷èò îò ìåíÿ 50 çîëîòûõ, [From.GetSheHe] âûñòàâèò ìî¸ íåâåðèå íàïîêàç!;;x
EVTOPTA69000;Ask him if he really desires men rather than women;;;;;;;;;;;Ñïðîñèòü åãî, äåéñòâèòåëüíî ëè îí ïðåäïî÷èòàåò ìóæ÷èí, à íå æåíùèí.;;x
EVTOPTA69001;What nerve! I love women, not men!;;;;;;;;;;;Êàêàÿ íàãëîñòü! Ìíå íðàâÿòñÿ æåíùèíû, à íå ìóæ÷èíû!;;x
EVTOPTA69002;I cannot let anyone believe that!;;;;;;;;;;;ß íå ìîãó ïîçâîëèòü êîìó-íèáóäü ïîâåðèòü â ýòî!;;x
EVTOPTA69003;I will accuse him of sodomy!;;;;;;;;;;;ß îáâèíþ åãî â ãðåõå ìóæåëîæñòâà!;;x
EVTOPTA69004;What!? No! No, I am not a sodomite!;;;;;;;;;;;×òî!? Íåò! Íåò, ÿ íå ñîäîìèò!;;x
EVTOPTA69005;The brothels it is!;;;;;;;;;;;Ïî áîðäåëÿì!;;x
EVTOPTA69006;[Root.Religion.GetPriestTitleCap] or not, nobody denounces me!;;;;;;;;;;;Íèêòî íå ñìååò îñóæäàòü ìåíÿ!;;x
EVTOPTA69007;I don't know what to know anymore!;;;;;;;;;;;ß íå çíàþ, ÷òî äóìàòü.;;x
EVTOPTA69010;I should warn him about his incestuous affair;;;;;;;;;;;ß äîëæåí ïðåäóïðåäèòü åãî î åãî êðîâîñìåñèòåëüíîé ñâÿçè.;;x
EVTOPTA69011;I love my sister, but not in that way!;;;;;;;;;;;ß ëþáëþ ñâîþ ñåñòðó, íî íå òàêèì îáðàçîì!;;x
EVTOPTA69012;Your silence is very valuable to me;;;;;;;;;;;Âàøå ìîë÷àíèå î÷åíü öåííî äëÿ ìåíÿ.;;x
EVTOPTA69013;Well, I wouldn't kick [From.GetHerHim] out of my bed...;;;;;;;;;;;Íó... ÿ íå âûêèíó [From.GetHerHim] èç ñâîåé ïîñòåëè...;;x
EVTOPTA69015;I have sinned, if not in flesh then in mind...;;;;;;;;;;;Ñîãðåøèë ÿ, åñëè íå âî ïëîòè, òî â ìûñëÿõ...;;x
EVTOPTA69016;The things I do for love...;;;;;;;;;;;×òî ÿ ìîãó ñäåëàòü ðàäè ëþáâè...;;x
EVTOPTA69017;I fear the Holy Father will not look kindly upon us...;;;;;;;;;;;Áîþñü, Ñâÿòîé Îòåö íå áóäåò áëàãîñêëîíåí ê íàì...;;x
EVTOPTA69020;Might he be impotent? I have to know!;;;;;;;;;;;Ìîæåò áûòü, îí íå ñïîñîáåí èìåòü äåòåé? Íóæíî âûÿñíèòü!;;x
EVTOPTA69021;We have a little trouble conceiving, that is all!;;;;;;;;;;;Ó íàñ åñòü íåáîëüøèå ïðîáëåìû ñ çà÷àòèåì, âîò è âñ¸!;;x
EVTOPTA69022;[Root.Spouse.GetFirstName] would be devastated, I have to pay...;;;;;;;;;;;[Root.Spouse.GetFirstName] íå ïîäâåðãíåòñÿ óíèæåíèþ, ÿ áóäó ïëàòèòü...;;x
EVTOPTA69024;Let them laugh!;;;;;;;;;;;Ïóñòü ñìåþòñÿ!;;x
EVTOPTA69030;It is my duty to confront him!;;;;;;;;;;;Ìîé äîëã - ñïðîñèòü [This.GetHersHis] îá ýòîì!;;x
EVTOPTA69031;I did not commit adultery with that woman;;;;;;;;;;;ß íå ïðåëþáîäåéñòâîâàë[Root.GetEndA] ñ ýòîé æåíùèíîé.;;x
EVTOPTA69032;I know what I saw!;;;;;;;;;;;Íî ÿ óâåðåí[Root.GetEndA] â òîì, ÷òî âèäåë[Root.GetEndA]!;;x
EVTOPTA69033;You BASTARD!;;;;;;;;;;;ÓÁËÞÄÎÊ!;;x
EVTOPTA69034;I will never cheat on you again, I promise!;;;;;;;;;;;ß áîëüøå íèêîãäà íå áóäó ëãàòü, îáåùàþ!;;x
EVTOPTA69035;Trust me on this!;;;;;;;;;;;Ïîâåðü ìíå!;;x
EVTOPTA69036;Take this, I don't want to see you ever again!;;;;;;;;;;;Âîçüìèòå ýòî, ÿ íå õî÷ó óâèäåòü Âàñ êîãäà-íèáóäü âíîâü!;;x
EVTOPTA69038;Why did you have to involve them?!;;;;;;;;;;;Êàêàÿ íóæäà çàñòàâèëà òåáÿ ðàññêàçàòü èì âñ¸?!;;x
EVTOPTA69039;I reassure my mistress of my deep love for her;;;;;;;;;;;ß óâåðèë ëþáîâíèöó â ñâîåé ãëóáîêîé ëþáâè ê íåé.;;x
EVTOPTA69040;Have you tampered with the occult?;;;;;;;;;;;Òû çàíèìà[This.GetLasLsya] îêêóëüòèçìîì?;;x
EVTOPTA69041;Are you mad? I would never!;;;;;;;;;;;Âû ñ óìà ñîøëè? Íè÷åãî ïîäîáíîãî!;;x
EVTOPTA69042;This is all I have got...;;;;;;;;;;;Ýòî âñ¸, ÷òî ó ìåíÿ åñòü...;;x
EVTOPTA69044;I ignore the talks;;;;;;;;;;;ß íå îáðàùàþ âíèìàíèÿ íà ðàçãîâîðû.;;x
EVTOPTA69045;I hope I can remember all of this!;;;;;;;;;;;ß íàäåþñü, ÷òî çàïîìíþ âñå ýòî!;;x
EVTOPTA69046;I repent, I will never fiddle with the occult again!;;;;;;;;;;;Êàþñü, ÿ íèêîãäà íå áóäó èãðàòü ñ îêêóëüòèçìîì âíîâü!;;x
EVTOPTA69047;This spell will benefit me;;;;;;;;;;;Ýòî çàêëèíàíèå áóäåò ïîëåçíî ìíå.;;x
EVTOPTA69050;You are not good enough, you have to shape up!;;;;;;;;;;;Âû íå äîñòàòî÷íî õîðîøè, ÿ æäó ïðîðûâà!;;x
EVTOPTA69051;[From.GetTitledFirstName] does not appreciate me...;;;;;;;;;;;[From.GetTitledFirstName] íå öåíèò ìåíÿ...;;x
EVTOPTA69052;Shape up or you're out of a job!;;;;;;;;;;;Çàéìèòåñü ñîáîé èëè ïîòåðÿåòå ðàáîòó!;;x
EVTOPTA69053;I will make you appreciate me, [From.GetTitledFirstName]!;;;;;;;;;;;ß ñäåëàþ òàê, ÷òî Âû ñòàíåòå öåíèòü ìåíÿ, [From.GetTitledFirstName]!;;x
EVTOPTA69054;Not good enough!;;;;;;;;;;;Íå ãîäèòñÿ!;;x
EVTOPTA69055;I will shape up!;;;;;;;;;;;ß áóäó ñòàðàòüñÿ!;;x
EVTOPTA69056;You can and must do better!;;;;;;;;;;;Âû äîëæíû áûòü ëó÷øå!;;x
EVTOPTA69057;I'm sorry, I'll work harder!;;;;;;;;;;;Ïðîñòèòå ìåíÿ, ÿ áóäó ðàáîòàòü íà èçíîñ!;;x
EVTOPTA69058;Why does [Root.job_spiritual.GetSheHe] disappoint every time I try to trust [Root.job_spiritual.GetHerHim]?;;;;;;;;;;;Ïî÷åìó [Root.job_spiritual.GetSheHe] îáìàíûâàåò ìåíÿ, êîãäà ÿ äîâåðÿþ [Root.job_spiritual.GetHerHim]?;;x
EVTOPTA69059;Why can't I be appreciated for the things I do right?;;;;;;;;;;;Ïî÷åìó ÿ íå ñëûøó áëàãîäàðíîñòè çà òî, ÷òî ÿ äåëàþ ïðàâèëüíî?;;x
EVTOPTA69060;Confront the courtier about the lack of piety;;;;;;;;;;;Óêàçàòü íà íåõâàòêó áëàãî÷åñòèÿ;;x
EVTOPTA69061;I will prove my piety by good deeds;;;;;;;;;;;ß ïîêàæó, íàñêîëüêî ÿ áëàãî÷åñòèâ[Root.GetEndA], ñîâåðøàÿ äîáðûå ïîñòóïêè.;;x
EVTOPTA69062;Here, now leave me alone!;;;;;;;;;;;Âîçüìèòå, òåïåðü îñòàâüòå ìåíÿ â ïîêîå!;;x
EVTOPTA69064;I won't burn in hell! Where have you heard that?;;;;;;;;;;;ß íå áóäó ãîðåòü â àäó! Ãäå Âû óñëûøàëè ýòîò áðåä?;;x
EVTOPTA69065;I will donate to the church just to keep him quiet;;;;;;;;;;;ß áóäó æåðòâîâàòü íà öåðêîâü, ëèøü áû îí óñïîêîèëñÿ.;;x
EVTOPTA69066;I will prove my piety by doubling, nay, tripling the zakat!;;;;;;;;;;;ß äîêàæó ñâî¸ áëàãî÷åñòèå! ß óäâàèâàþ, íåò, óòðàèâàþ çàêÿò!;;x
EVTOPTA69070;You are a disgrace and I despise you!;;;;;;;;;;;Ïîçîð, ÿ ïðåçèðàþ åãî!;;x
EVTOPTA69071;I will try to prove myself;;;;;;;;;;;ß ïîñòàðàþñü ïðîÿâèòü ñåáÿ.;;x
EVTOPTA69072;Please don't tell anyone!;;;;;;;;;;;Ïîæàëóéñòà, íå ãîâîðèòå íèêîìó!;;x
EVTOPTA69074;I need to;;;;;;;;;;;Ìíå íóæíî ýòî.;;x
EVTOPTA69075;I admit, I am a coward...;;;;;;;;;;;Ïðèçíàþñü, ÿ òðóñ...;;x
EVTOPTA69076;This is a glorious day!;;;;;;;;;;;Ýòî ñëàâíûé äåíü!;;x
EVTOPTA69080;Why?;;;;;;;;;;;Êàê òàê?;;x
EVTOPTA69081;That is preposterous!;;;;;;;;;;;Ýòî íåëåïî!;;x
EVTOPTA69082;We only need to try more!;;;;;;;;;;;Íàì ïðîñòî íóæíî áîëüøå ñòàðàòüñÿ!;;x
EVTOPTA69083;...and now my wife believes those rumors!;;;;;;;;;;;...è òåïåðü ìîÿ æåíà âåðèò, ÷òî ýòî íå ïðîñòî ñëóõè!;;x
EVTOPTA69084;So what if I am?;;;;;;;;;;;Íó è ÷òî?;;x
EVTOPTA69085;What have I done?;;;;;;;;;;;×òî ÿ ñäåëàë?;;x
EVTOPTA69086;Totally unjustified, I am sure!;;;;;;;;;;;Ñîâåðøåííî íåîïðàâäàííî, ÿ óâåðåí!;;x
EVTOPTA69087;Well then [From.GetSheHe] should get a new Steward!;;;;;;;;;;;Íó, ïóñòü òîãäà [From.GetSheHe] èùåò íîâîãî!;;x
EVTOPTA69088;Why I never!;;;;;;;;;;;Àáñóðä!;;x
EVTOPTA69089;This is troubling;;;;;;;;;;;Ýòî òðåâîæèò ìåíÿ!;;x
EVTOPTA69090;How could that happen?;;;;;;;;;;;Êàê ýòî ìîãëî ñëó÷èòüñÿ?;;x
EVTOPTA69091;I strongly reject the notion!;;;;;;;;;;;ß ðåøèòåëüíî ïðîòèâ òàêîãî ìíåíèÿ!;;x
EVTOPTB69000;I should tell others about my suspicion!;;;;;;;;;;;ß äîëæåí ðàññêàçàòü äðóãèì î ñâîèõ ïîäîçðåíèÿõ!;;x
EVTOPTB69001;You are right. I desire men, not women;;;;;;;;;;;Âû ïðàâû. ß ïðåäïî÷èòàþ ìóæ÷èí.;;x
EVTOPTB69002;No one will believe that!;;;;;;;;;;;Íèêòî íå ïîâåðèò â ýòî!;;x
EVTOPTB69003;It is my duty to inform everyone about this suspected sodomite!;;;;;;;;;;;Ìîé äîëã ñîîáùèòü êàæäîìó - ÿ ïîäîçðåâàþ, ÷òî îí - ñîäîìèò!;;x
EVTOPTB69004;Yes, I am a sodomite;;;;;;;;;;;Äà, åñòü òàêîå äåëî.;;x
EVTOPTB69005;I should talk about it;;;;;;;;;;;ß äîëæåí óáåäèòåëüíî ãîâîðèòü îá ýòîì.;;x
EVTOPTB69006;Just keep quiet, people will forget this soon;;;;;;;;;;;Ñëåäóåò ïðîñòî ïðîìîë÷àòü, ëþäè çàáóäóò îá ýòîì â áëèæàéøåå âðåìÿ.;;x
EVTOPTB69010;I have to tell everyone about their incestuous affair!;;;;;;;;;;;ß äîëæåí ðàññêàçàòü âñåì îá èõ êðîâîñìåñèòåëüíîé ñâÿçè!;;x
EVTOPTB69011;I will prove I am not having an affair with my sister!;;;;;;;;;;;ß äîêàæó, ÿ íå èìåþ îçâó÷åííîé ñâÿçè ñ ìîåé ñåñòðîé!;;x
EVTOPTB69012;You cannot prove anything!;;;;;;;;;;;Âû íå ñìîæåòå íè÷åãî äîêàçàòü!;;x
EVTOPTB69013;Charming and handsome won't buy your way to my bed!;;;;;;;;;;;Ñâîèì î÷àðîâàíèåì è êðàñîòîé Âû íå êóïèòå ïóòü â ìîþ ïîñòåëü!;;x
EVTOPTB69015;I have nothing to confess, nothing to be forgiven for...;;;;;;;;;;;Ìíå íå â ÷åì ñîçíàâàòüñÿ, íè÷òî íå òðåáóåò ïðîùåíèÿ...;;x
EVTOPTB69016;Ignore the child;;;;;;;;;;;Íå îáðàùàòü âíèìàíèÿ íà ðåá¸íêà.;;x
EVTOPTB69020;It surprises me no one else knows this, I should tell them...;;;;;;;;;;;Ìåíÿ óäèâëÿåò, ÷òî áîëüøå íèêòî íå çíàåò ýòîãî, íóæíî ðàññêàçàòü èì...;;x
EVTOPTB69021;It's true, I'm impotent...;;;;;;;;;;;Ýòî ïðàâäà. ß íå ñïîñîáåí èìåòü äåòåé...;;x
EVTOPTB69022;I will never give in to your demands!;;;;;;;;;;;ß íèêîãäà íå ïîääàìñÿ Âàøèì òðåáîâàíèÿì!;;x
EVTOPTB69030;I should tell someone...;;;;;;;;;;;ß äîëæ[Root.GetNaEn] êîìó-òî ðàññêàçàòü îá ýòîì...;;x
EVTOPTB69031;I won't say a word;;;;;;;;;;;ß íå ñêàæó íè ñëîâà.;;x
