#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
EVTDESC_GBC_1;[GBC_dead_one.GetTitledFirstName] died from the plague. Oh noes!;;;;;;;;;;;[Root.PrimaryTitle.GetFOA], ñ ïðèñêîðáèåì âûíóæäåíû ñîîáùèòü, ÷òî ìèíóâøèì óòðîì [GBC_dead_one.GetTitledFirstName] ñêîí÷à[GBC_dead_one.GetLasLsya] îò ÷óìû.;;x
EVTDSC_GBC_113_A;My dearest [Root.GetLordLady] [Root.GetFirstName], \nI was deeply moved by your most beautiful verse. I thank you from the bottom of my heart. You have proven to be a most noble soul. I dearly hope you will continue to bless me with your correspondence. \n\n Your faithful friend, \n[gbc_lover.GetFirstName];;;;;;;;;;;Äîðîã[Root.GetAyaOy] [Root.GetFirstName],\nÂàøè ñëîâà ãëóáîêî òðîíóëè ìåíÿ. Áëàãîäàðþ Âàñ. Áåç ñîìíåíèÿ Âû îáëàäàåòå ÷óòêèì ñåðäöåì è áëàãîðîäíîé äóøîé. Ñ íåòåðïåíèåì áóäó æäàòü îò Âàñ íîâûõ ïèñåì.\nÑ èñêðåííåé òåïëîòîé è äðóæáîé,\n [From.GetFirstName];;x
EVTDSC_GBC_113_B;To the esteemed [Root.GetBestName], \nI am honored by your high regard of me, my [Root.GetLordLady], but I cannot encourage you. I am not the [gbc_lover.GetManWoman] you believe me to be. I am bound by my promise, to my [gbc_lover.GetHusbandWifeOpp] and to [gbc_lover.Religion.GetHighGodName]. If you care for me at all, I wish you would abandon this folly and leave me be. \n\nMy best wishes to you and your beautiful bride, \n[gbc_lover.GetTitledFirstName];;;;;;;;;;;Óâàæàåì[Root.GetAyaYy] [Root.GetBestName],\nÏîëüùåí[From.GetEndA] ñòîëü ò¸ïëûìè ñëîâàìè â ìîé àäðåñ, íî íå ìîãó èõ ïðèíÿòü. ß íå ò[From.GetEtaEtot] [From.GetManWoman]à, êîòîð[From.GetOyYm] Âû ìåíÿ ñ÷èòàåòå. ß âåð[From.GetNaEn] ñâî[From.GetHerHimOpp] [From.GetHusbandWifeOppDAT] è ñâÿòîìó äîëãó. Åñëè Âàñ çàáîòèò ìîÿ ñóäüáà, Âû îñòàâèòå ýòè ãëóïîñòè.\nÑ íàèëó÷øèìè ïîæåëàíèÿìè,\n [From.GetTitledFirstName];;x
EVTDSC_GBC_113_C;My dearest [Root.GetLordLady] [Root.GetFirstName], \nI send my deepest gratitude to you for the beautiful fur I received. I do not know why I would deserve such a gift, but I humbly accept. You have proven to be a most kind soul, [Root.GetLordLady] [Root.GetFirstName]. I hope you will continue to bless me with your correspondence. \n\n Your faithful friend, \n[gbc_lover.GetFirstName];;;;;;;;;;;Äîðîã[Root.GetAyaOy] [Root.GetFirstName],\nß ãëóáîêî ïðèçíàòåë[From.GetSofNaEn] Âàì çà ïðåêðàñíûå ìåõà. Íå çíàþ ÷åì çàñëóæèë[From.GetEndA] ñòîëü ùåäðûé ïîäàðîê, íî ñ áëàãîäàðíîñòüþ ïðèíèìàþ åãî. Âû òàê äîáðû êî ìíå. Íàäåþñü è âïðåäü ïîëó÷àòü îò Âàñ ïèñüìà.\nÂàø âåðíûé äðóã,\n [From.GetFirstName];;x
EVTDSC_GBC_114;I have received an invitation from [gbc_lover.GetFirstName]'s [gbc_rival.GetHusbandWife], [gbc_rival.GetTitledFirstName]. [gbc_rival.GetSheHeCap] is arranging a yearly hunting trip at [gbc_rival.GetHerHis] estate and would like for me to join. [gbc_lover.GetFirstName] will surely be there...;;;;;;;;;;;Íå óâåðåí[Root.GetEndA] çíàåò ëè [gbc_lover.GetFirstName], ÷òî [gbc_lover.GetHersHis] [gbc_rival.GetHusbandWife] [gbc_rival.GetTitledFirstName] ïðèãëàñèë[gbc_rival.GetEndA] ìåíÿ â ñâîè ëè÷íûå âëàäåíèÿ, ÷òîáû âìåñòå ïîîõîòèòüñÿ, íî íå ñîìíåâàþñü, [gbc_lover.GetSheHe] ñàì[gbc_lover.GetEndA] òîæå òàì áóäåò.;;x
EVTDSC_GBC_116;It's the first eve of [gbc_rival.GetTitledFirstName]'s great hunt and everyone is welcomed by a great feast. The entertainment and refreshments are superb but I only have eyes for [gbc_lover.GetFirstName] seated by [gbc_rival.GetFirstName]'s side. During the evening [gbc_lover.GetSheHe] meets my gaze a handful of times, only to look away blushing.;;;;;;;;;;;Ïåðâûé äåíü âåëèêîé îõîòû. [gbc_rival.GetTitledFirstName] ïðèãëàñèë[gbc_rival.GetEndA] âñåõ íà ïðàçäíè÷íûé îáåä. Ðàçâëå÷åíèÿ è íàïèòêè ïðåâîñõîäû, íî â öåíòðå ìîåãî âíèìàíèÿ ëèøü [gbc_lover.GetFirstName], ñèäÿù[gbc_lover.GetAyaIy] ðÿäîì ñî ñâî[gbc_rival.GetEyIm] [gbc_rival.GetHusbandWifeINS]. [gbc_rival.GetFirstName] äåðæèò [gbc_lover.GetHersHis] çà ðóêó, íî [gbc_lover.GetSheHe] ïîñòîÿííî ïîãëÿäûâàåò íà ìåíÿ.;;x
EVTDSC_GBC_118;It is past midnight and I am wandering the halls of the keep, searching for [gbc_lover.GetFirstName]'s quarters. While [gbc_lover.GetSheHe] left the feast early, [gbc_lover.GetHerHis] [gbc_rival.GetHusbandWife] was still drinking with [gbc_rival.GetHerHis] closest friends when I left. However suddenly, when I turn a corner, [gbc_rival.GetSheHe] is right there!;;;;;;;;;;;Óæå ïîëíî÷ü, à ÿ áðîæó â ïîèñêàõ [gbc_lover.GetHersHis] [gbc_lover.GetChamberGEN]. [gbc_lover.GetSheHeCap] ðàíî âûø[gbc_lover.GetLaYol] èç-çà ñòîëà, íî [gbc_lover.GetHersHis] [gbc_rival.GetHusbandWife] îñòà[gbc_rival.GetLasLsya] âûïèòü ñ áëèçêèìè äðóçüÿìè. Êàêîâî æå áûëî ìî¸ óäèâëåíèå, êîãäà ÿ óâèäåë[Root.GetEndA] [gbc_rival.GetHersHis] ïðÿìî çà óãëîì!;;x
EVTDSC_GBC_119;I am stalking through the underbrush, closely following my assigned hound. It seems as if it has found a trail! Then suddenly my concentration is shattered by a distant [gbc_lover.GetManWoman]'s scream. What is happening?!;;;;;;;;;;;Ïîõîæå, ìîÿ ãîí÷àÿ íàïàëà íà ñëåä, è ÿ íàïðàâè[Root.GetLasLsya] çà íåé ÷åðåç ïîäëåñîê. Âíåçàïíî ìî¸ âíèìàíèå ñáèë äàë¸êèé è ïðîçíèòåëüíûé [gbc_lover.GetMaleFemale]èé êðèê. ×òî ñëó÷èëîñü?!;;x
EVTDSC_GBC_121;Heart beating in my chest, I sprint through the forest. Within what must have been a minute, but felt like an hour, I burst through the thick foliage and enter a clearing. Before me [gbc_lover.GetFirstName] is kneeling on the ground, hair disheveled and horse gone. Opposite [gbc_lover.GetHerHim], and just about to strike, stands a huge wolf!;;;;;;;;;;;Êàê óãîðåë[Root.GetAyaYy] ÿ áðîñè[Root.GetLasLsya] ÷åðåç ëåñ. Íàâåðíîå, ïðîøëà âñåãî ìèíóòà, íî êàçàëîñü - öåëûé ÷àñ. Ïðîðâàâøèñü ñêâîçü ãóñòóþ ðàñòèòåëüíîñòü, ÿ âûáåæàë[Root.GetEndA] íà ïîëÿíó. Ñ óæàñîì ÿ îáíàðóæèë[Root.GetEndA], ÷òî [gbc_lover.GetFirstName] ëåæèò íà çåìëå, âîëîñû ðàñòð¸ïàíû, à [gbc_lover.GetHersHis] ëîøàäü ïðîïàëà. Ðÿäîì ðû÷èò îãðîìíûé âîëê!;;x
EVTDSC_GBC_123_A;My arrow sears through the air and hits the wolf straight in the eye. As the huge gray body hits the ground, [gbc_lover.GetFirstName] turns my way. For a moment all [gbc_lover.GetSheHe] can do is stare, but then [gbc_lover.GetSheHe] stumbles across the clearing and throws [gbc_lover.GetHerselfHimself] into my arms.;;;;;;;;;;;Ñòðåëà ïîïàëà âîëêó ïðÿìî â ãëàç. Çâåðü ðóõíóë íà çåìëþ, à [gbc_lover.GetFirstName] ïîñìîòðåë[gbc_lover.GetEndA] íà ìåíÿ. Â ýòîò ìîìåíò [gbc_lover.GetSheHe] ìîã[gbc_lover.GetNoneE] òîëüêî ñìîòðåòü, íî ñïóñòÿ ìèíóòó áðîñè[gbc_lover.GetLasLsya] â ìîè îáúÿòüÿ.;;x
EVTDSC_GBC_123_B;My arrow sears through the air, but misses the wolf with several yards. The great beast does not even flinch. Before I can draw another arrow, it launches itself at [gbc_lover.GetFirstName]!;;;;;;;;;;;Ñòðåëà ïðîëåòåëà ìèìî, à çâåðü äàæå íå øåëîõíóëñÿ. Ïðåæäå ÷åì ÿ óñïåë[Root.GetEndA] íàòÿíóòü òåòèâó, îí êèíóëñÿ íà í[gbc_lover.GetHersHis]!;;x
EVTDSC_GBC_123_C;All I can think of is screaming, so I do. Soon the rest of my body unfreezes and I run towards the beast, arms waving over my head. The beast is startled by my sudden appearance, and its hesitation fuels my bravery. Just before impact, it retreats. A shocked [gbc_lover.GetFirstName] stumbles into my arms.;;;;;;;;;;;ß çàîðàë[Root.GetEndA] è áðîñè[Root.GetLasLsya] íà âîëêà. Çâåðü ïîïÿòèëñÿ íàçàä, ÷òî ïîäñòåãíóëî ìîþ õðàáðîñòü. Ïîòåðÿâ èíèöèàòèâó, îí óáåæàë îáðàòíî â ëåñ. [gbc_lover.GetFirstName] áûë[gbc_lover.GetEndA] ïîðàæåí[gbc_lover.GetEndA] óâèäåííûì è áðîñè[gbc_lover.GetLasLsya] â ìîè îáúÿòüÿ.;;x
EVTDSC_GBC_123_D;All I can think of is screaming, so I do. Soon the rest of my body unfreezes and I run towards the beast, arms waving over my head. While it is no longer staring at [gbc_lover.GetFirstName], instead it launches itself at me! One excruciating bite, and then it's gone. [gbc_lover.GetFirstName] stumbles over to me, eyes full of tears.;;;;;;;;;;;"ß çàîðàë[Root.GetEndA] è áðîñè[Root.GetLasLsya] íà âîëêà. Â ñëåäóþùåå ìãíîâåíèå çâåðü ïîâåðíóëñÿ è êèíóëñÿ â ìîþ ñòîðîíó! Æåñòîêî èñêóñàâ ìåíÿ, îí óáåæàë â ëåñ. ""Íå óìèðàé! Íå îñòàâëÿé ìåíÿ!"" — â ñëåçàõ êðè÷àë[gbc_lover.GetEndA] [gbc_lover.GetFirstName], ïûòàÿñü îñòàíîâèòü êðîâü.";;x
EVTDSC_GBC_123_E;There is nothing I can do, it is too late. The nightmare unfolds before me. [gbc_lover.GetFirstName] cries my name in panic just before the beast pounces. Now [gbc_lover.GetHerHis] screams are nothing but wordless agony.;;;;;;;;;;;Ñëèøêîì ïîçäíî, ÿ íè÷åãî íå ñìîã[Root.GetNoneE] ñäåëàòü. Êîøìàðíàÿ ñöåíà ðàçâåðíóëàñü ïðÿìî ïåðåä ìîèìè ãëàçàìè. [gbc_lover.GetFirstName] â óæàñå çâàë[gbc_lover.GetEndA] ìåíÿ, êîãäà çâåðü áðîñèëñÿ íà í[gbc_lover.GetHersHis]. Âñêîðå êðèêè ïðåêðàòèëèñü, îñòàâèâ ëèøü ä¸ðãàþùååñÿ îêðîâàâëåííîå òåëî.;;x
EVTDSC_GBC_124;I never thought I would feel this way! I keep smiling all the time for no good reason. I want to be with [gbc_lover.GetFirstName] all the time - listen to [gbc_lover.GetHerHis] pealing laughter, hold [gbc_lover.GetHerHim] in my arms...;;;;;;;;;;;ß íèêîãäà íå ÷óâñòâîâàë[Root.GetEndA] íè÷åãî ïîäîáíîãî! Äíè íà ïðîë¸ò ÿ óëûáàþñü áåç âñÿêîé ïðè÷èíû. [gbc_lover.GetFirstName] çàíèìàåò âñå ìîè ìûñëè, ÿ õî÷ó âñ¸ âðåìÿ áûòü ñ í[gbc_lover.GetEyIm], ñëûøàòü [gbc_lover.GetHersHis] çâîíêèé ñìåõ, äåðæàòü [gbc_lover.GetHersHis] çà ðóêó...;;x
EVTDSC_GBC_126;I am laying in [gbc_lover.GetFirstName]'s warm embrace, eyes closed, doing nothing but listening to [gbc_lover.GetHerHis] steady heartbeat. Then suddenly the perfect moment is disrupted when the door swings open, revealing a most shocked [gbc_rival.GetTitledFirstName]!;;;;;;;;;;;ß ëåæó áåçìÿòåæíî â æàðêèõ îáúÿòüÿõ ëþáèìî[gbc_lover.GetYGo] è ñëóøàþ áèåíèå [gbc_lover.GetHersHis] ñåðäöà, ãëàçà çàêðûòû, êàêîé ïðåêðàñíûé ìîìåíò... ß õî÷ó, ÷òîáû îí äëèëñÿ âå÷íî. Íî âäðóã äâåðü îòêðûâàåòñÿ, è âõîäèò [gbc_rival.GetTitledFirstName]! Íà ìãíîâåíèå [gbc_rival.GetSheHe] îöåïåíåë[gbc_rival.GetEndA] â øîêå îò óâèäåííîãî.;;x
EVTDSC_GBC_128;My most beloved [Root.GetFirstName], \nI cannot believe how blessed I am, having found such a [Root.GetAdultCompliment] such as you! Yet, I write to you with a heavy heart, my dearest. Living under the same roof as my loathsome [gbc_rival.GetHusbandWife] is more than I can bear. It breaks my heart that [gbc_rival.GetHerHis] mere existence is keeping us apart! Please, [Root.GetFirstName], save me from this misery!;;;;;;;;;;;Ì[Root.GetOyaOy] âîçëþáëåíí[Root.GetAyaYy] [Root.GetFirstName],\nÍå ïðåäñòàâëÿåøü, êàê ìíå ïîâåçëî, ÷òî ó ìåíÿ åñòü òàê[Root.GetAyaOy] ïðåêðàñí[Root.GetAyaYy] [Root.GetAgedPersonM], êàê òû. Ýòè ñòðîêè ÿ ïèøó òåáå ñ òÿæ¸ëûì ñåðäöåì, æèòü ïîä îäíîé êðûøåé ñ ìî[gbc_rival.GetEyIm] [gbc_rival.GetHusbandWifeINS] ÿ áîëüøå íå ìîãó. Ñàìî [gbc_rival.GetHersHis] ñóùåñòâîâàíèå ðàçðóøàåò íàøå ñ òîáîé ñ÷àñòüå! Ïðîøó òåáÿ, ëþáèì[Root.GetAyaYy], ñïàñè ìåíÿ îò ýòîãî àäà!;;x
EVTDSC_GBC_130;The day has arrived. Two brave hearts draw their swords but only one of them will keep beating past sunset. [gbc_rival.GetTitledFirstName] is a worthy opponent, but today I am Fortuna's favored one. After many intense blows, I get an opening and sink my blade into [gbc_rival.GetHerHis] side. Rivulets of [gbc_rival.GetHerHis] crimson blood herald my victory.;;;;;;;;;;;×àñ íàñòàë, è ìû ñêðåñòèëè êëèíêè. [gbc_rival.GetTitledFirstName]  - âåñüìà äîñòîéíûé ïðîòèâíèê, íî óäà÷à íà ìîåé ñòîðîíå. Êàçàëîñü, íåñêîí÷àåìûé çâîí ñòàëè íå çàòèõíåò íèêîãäà, íî âîò ìíå ïðåäñòàâèëñÿ øàíñ, è ÿ íàíåñ[Root.GetNoneE] òî÷íûé óâåðåííûé óäàð. Áðûçãè êðîâè óêðàñèëè ìîþ ïîáåäó.;;x
EVTDSC_GBC_131;The day has arrived. Two brave hearts draw their swords but only one of them will keep beating past sunset. [gbc_rival.GetTitledFirstName] is a worthy opponent, and with each exchange of blows I can feel my confidence faltering. Then a sudden attack, a missed parry, and [gbc_rival.GetHerHis] sword finds the soft flesh of my armpit...;;;;;;;;;;;×àñ íàñòàë, è ìû ñêðåñòèëè êëèíêè. [gbc_rival.GetTitledFirstName]  - âåñüìà äîñòîéíûé ïðîòèâíèê, è ñ êàæäûì çàìàõîì, ÿ ÷óâñòâþ, êàê òåðÿþ èíèöèàòèâó. Î÷åðåäíîé óäà÷íûé âûïàä, è [gbc_rival.GetHersHis] ìå÷ ïðîçíèë ìîþ ãðóäü...;;x
EVTDSC_GBC_132;At first, [gbc_rival.GetTitledFirstName] wanted to hear none of it, as expected. The more I talked however, the more I could notice [gbc_rival.GetHerHim] softening. In the end, [gbc_rival.GetSheHe] realized that none of it could be undone. Divorcing [gbc_lover.GetFirstName] and thus giving both [gbc_rival.GetHerHim] and [gbc_lover.GetHerHim] a fresh start is the only reasonable course of action.;;;;;;;;;;;Ïîíà÷àëó [gbc_rival.GetTitledFirstName] îòêàçûâà[gbc_rival.GetLasLsya] ìåíÿ ñëóøàòü. Íî ÷åì áîëüøå ÿ ãîâîðèë[Root.GetEndA], òåì ÿñíåå [gbc_rival.GetSheHe] ïîíèìàë[gbc_rival.GetEndA] ñåðü¸çíîñòü ñèòóàöèè. Â êîíöå êîíöîâ, [gbc_rival.GetSheHe] ïðèçíàë[gbc_rival.GetEndA] íåèçáåæíîñòü ðàçâîäà.;;x
EVTDSC_GBC_133;I did not expect it to be easy, however [gbc_rival.GetTitledFirstName] is outright unreasonable! The more I try to explain, the redder [gbc_rival.GetHerHis] face becomes. Before I can present my strongest arguments [gbc_rival.GetSheHe] calls for the guards!;;;;;;;;;;;ß è íå æäàë[Root.GetEndA], ÷òî ýòî áóäåò ïðîñòî, íî [gbc_rival.GetTitledFirstName] ñîâåðøåííî íåïðåêëîí[gbc_rival.GetNaEn]. ×åì áîëüøå àðãóìåíòîâ ÿ ïðèâîäèë[Root.GetEndA], òåì îò÷åòëèâåå áûë [gbc_rival.GetHersHis] ãíåâ. Â êîíöå êîíöîâ, [gbc_rival.GetSheHe] ïîçâàë[gbc_rival.GetEndA] ñòðàæó!;;x
EVTDSC_GBC_134;Anxiously I have been awaiting the news all day. Did my plot succeed? Are we free, [gbc_lover.GetFirstName] and I? When the messenger enters my study, it is almost as if time itself stops. But then he gives me the joyous news - [gbc_rival.GetTitledFirstName] is dead! I did it!;;;;;;;;;;;Íå íàõîäÿ ñåáå ìåñòà, äíè íà ïðîë¸ò, ÿ îæèäàë[Root.GetEndA] íîâîñòåé. Óäàëñÿ ëè çàãîâîð? Ñâîáîä[gbc_lover.GetNaEn] ëè ì[gbc_lover.GetOyaOy] [gbc_lover.GetFirstName]? Êîãäà ìîé ÷åëîâåê íàêîíåö ïðèø¸ë, âðåìÿ ñëîâíî çàìåðëî. Íî îí ïðèí¸ñ õîðîøèå âåñòè - [gbc_rival.GetTitledFirstName] óìåð[gbc_rival.GetNoneE]! Ïîëó÷èëîñü!;;x
EVTDSC_GBC_135;Anxiously I have been awaiting the news all day. Did my plot succeed? Are we free, [gbc_lover.GetFirstName] and I? When the messenger enters my study I can tell right away that he brings dark tidings. He confirms my suspicions - [gbc_rival.GetTitledFirstName] lives and [gbc_rival.GetSheHe] knows. Now [gbc_lover.GetFirstName] is outside of my reach, forever...;;;;;;;;;;;Íå íàõîäÿ ñåáå ìåñòà, äíè íà ïðîë¸ò, ÿ îæèäàë[Root.GetEndA] íîâîñòåé. Óäàëñÿ ëè çàãîâîð? Ñâîáîä[gbc_lover.GetNaEn] ëè ì[gbc_lover.GetOyaOy] [gbc_lover.GetFirstName]? Êîãäà ìîé ÷åëîâåê íàêîíåö ïðèø¸ë, îí ïðèí¸ñ äóðíûå âåñòè. Õóäøèå ïîäîçðåíèÿ ïîäòâåðäèëèñü - [gbc_rival.GetTitledFirstName] æèâ[gbc_rival.GetEndA] è âñ¸ çíàåò...;;x
EVTDSC_GBC_137;Finally, we are together, [gbc_lover.GetFirstName] and I. As it should be, as it always will be. We might have encountered obstacles along the way, yet our love is stronger for it. Now that [gbc_lover.GetFirstName]'s old [gbc_lover.GetHusbandWifeOpp] is out of the picture we can start over and create a new life, together. \n\nIt will not always be easy. Everyone who knows will disapprove. However, at the moment, it does not bother me in the slightest. My fear of never experiencing true love, of dying alone, is over. I have found all I will ever need.;;;;;;;;;;;Íàêîíåö-òî ìû âìåñòå, [gbc_lover.GetFirstName] è ÿ. Âñ¸ òàê, êàê è äîëæíî áûòü. Ìû ïðåäîëååì âñå ïðåãðàäû íà íàøåì ïóòè. Òåïåðü, êîãäà [gbc_lover.GetHersHis] [gbc_lover.GetHusbandWifeOppGEN] áîëüøå íåò, ìû ñìîæåì íà÷àòü íîâóþ æèçíü âìåñòå.\nÍèêòî íå ãîâîðèò, ÷òî íàì áóäåò ëåãêî, âåäü ýòè îòíîøåíèÿ íèêòî íå îäîáðèò, íî ìíå ïëåâàòü. ß íàø[Root.GetLaYol] èñòèííóþ ëþáîâü, ýòî âñ¸, ÷òî ìíå íóæíî.;;x
EVTDSC_GBC_138;[gbc_lover.GetFirstName]'s face occupies my mind during all my waking hours, and [gbc_lover.GetHerHis] voice haunts my sleep at night. We have to be together! What shall I do about [gbc_lover.GetHerHis] [gbc_rival.GetHusbandWife]? I have had a few ideas...;;;;;;;;;;;[gbc_lover.GetFirstName]... Î ïðåêðàñí[gbc_lover.GetAyaYy] [gbc_lover.GetFirstName]! Òâî¸ ëèöî ÿ âèæó, ñòîèò ìíå çàêðûòü ãëàçà, òâîé ãîëîñ ñëûøó ÿ áåññîííûìè íî÷àìè. Ìû äîëæíû áûòü âìåñòå. Íî, ÷òî æå ìíå äåëàòü ñ òâî[gbc_rival.GetEyIm] [gbc_rival.GetHusbandWifeINS]? Õîòÿ... ó ìåíÿ åñòü ïàðà èäåé.;;x
EVTDSC_GBC_140;[gbc_rival.GetTitledFirstName]'s great hunt is now over. These weeks have been... eventful. To say the least.;;;;;;;;;;;[gbc_rival.GetTitledFirstName] îáúÿâèë[gbc_rival.GetEndA] îá îêîí÷àíèè âåëèêîé îõîòû. Ýòè äíè áûëè âåñüìà... íàñûùåííûìè. Åñëè íå ñêàçàòü áîëüøå.;;x
EVTDSC_GBC_141;Oh, great [Root.Religion.GetHighGodName], have you no mercy?! It turns out that the screams I heard in the forest were [gbc_lover.GetFirstName]'s! [gbc_lover.GetSheHeCap] was savagely attacked by a wolf. When they found [gbc_lover.GetHerHim], [gbc_lover.GetHerHis] heart was still beating, yet it was too late.;;;;;;;;;;;Î, [Root.GetNumenFOA], çà ÷òî?! ×åì [gbc_lover.GetSheHe] çàñëóæèë[gbc_lover.GetEndA] ýòî? Òå êðèêè â ëåñó, [gbc_lover.GetSheHe] çâàë[gbc_lover.GetEndA] íà ïîìîùü. [gbc_lover.GetFirstName], ì[gbc_lover.GetOyaOy] áåäí[gbc_lover.GetAyaYy] [gbc_lover.GetFirstName]! Êîãäà îíè íàøëè [gbc_lover.GetHersHis], [gbc_lover.GetSheHe] åù¸ áûë[gbc_lover.GetEndA] æèâ[gbc_lover.GetEndA], çàõë¸áûâàÿñü êðîâüþ, ä¸ðãàÿñü îò áîëè. Ãîâîðÿò, ýòî áûë âîëê.;;x
EVTDSC_GBC_142;To the [GetFromRootInsult] [Root.GetTitledFirstName], \nYour filthy conduct towards my [gbc_lover.GetHusbandWife] has brought dishonor to my name. No longer can I bear it! I accept your challenge, dog. Get your affairs in order, because I shall show you no mercy! \n\n[gbc_rival.GetTitledFirstName];;;;;;;;;;;[GetFromRootInsult]!\nÂàøè ãðÿçíûå ïîñòóïêè ïî îòíîøåíèþ ê ìî[gbc_lover.GetHerHim] [gbc_lover.GetHusbandWifeDAT] ïîðî÷àò ìî¸ äîáðîå èìÿ. ß íå ñòàíó òåðïåòü ýòî! Âàø âûçîâ ïðèíÿò. Ïðèâåäèòå ñâîè äåëà â ïîðÿäîê, èáî ÿ íå ïðîÿâëþ ê Âàì ìèëîñåðäèÿ!\n [gbc_rival.GetTitledFirstName];;x
EVTDSC_GBC_143;You walked here together, in this garden, mere months ago. Laughing at each other's quick remarks, stealing short glances... It seems like an altogether different live. Now, it's over, and it will never be the same again. \n\nMaybe being alone is not so bad. It gives you plenty of time to hone your skills and build your realm... No distractions, no limitations. What could be more important than that, after all?;;;;;;;;;;;Ìåñÿöû ñïóñòÿ Âû ïðîãóëèâàåòåñü ïî ñàäó, ïåðåãëÿäûâàÿñü è ñìåÿñü íàä øóòêàìè äðóã äðóãà... Ïîõîæå, òåïåðü ó êàæäîãî èç âàñ ñâîÿ æèçíü. Âñ¸ èçìåíèëîñü è áîëüøå íèêîãäà íå ñòàíåò ïðåæíèì.\nÂîçìîæíî, îäèíî÷åñòâî - ýòî íå òàê óæ ïëîõî, îíî äà¸ò Âàì ìàññó âðåìåíè äëÿ óïðàâëåíèå ñâîèìè çåìëÿìè, íè÷òî íå îòâëåêàåò...;;x
EVTNAME_GBC_2;A Wistful Night;;;;;;;;;;;Ãðóñòíàÿ íî÷ü;;x
EVTNAME_GBC_12;The Small Things We Don't Say;;;;;;;;;;;Måëêèå íåóðÿäèöû;;x
EVTNAME_GBC_13;The Rarity of Friendship;;;;;;;;;;;Påäêîñòü èñòèííîé äðóæáû;;x
EVTNAME_GBC_102;What is Love?;;;;;;;;;;;Ëþáîâü - ÷òî ìû çíàåì î íåé?;;x
EVTNAME_GBC_137;All's Well That Ends Well;;;;;;;;;;;Bñ¸ õîðîøî, ÷òî õîðîøî êîí÷àåòñÿ;;x
EVTNAME_GBC_143;Once Upon a Dream;;;;;;;;;;;Ãð¸çû ìèíóâøåãî;;x
EVTOPTA_GBC_2;I can't believe [GBC_dead_one.GetSheHe]'s not with us anymore.;;;;;;;;;;;Íå ìîãó ïîâåðèòü, ÷òî [GBC_dead_one.GetHersHis] áîëüøå íåò.;;x
EVTOPTA_GBC_3;I should talk to someone about this.;;;;;;;;;;;ß äîëæ[Root.GetNaEn] ñ êåì-òî ïîãîâîðèòü îá ýòîì...;;x
EVTOPTA_GBC_5;I'm more human than they know.;;;;;;;;;;;Íî ÿ - æèâîé ÷åëîâåê, îíè äîëæíû ïîíÿòü ýòî.;;x
EVTOPTA_GBC_6;That's the cutest thing I've seen since my servant's cat had triplets!;;;;;;;;;;;Êàêîå ìèëîå ñîçäàíèå!;;x
EVTOPTA_GBC_8;Wait, what? [GBC_new_friend.GetFirstName], what's the matter?;;;;;;;;;;;Ýé, ïîñòîé! ×òî ñëó÷èëîñü?!;;x
EVTOPTA_GBC_9;My friend, I've seen the plague before. I don't think this is it.;;;;;;;;;;;ß âèäåë[Root.GetEndA] ÷óìó. Óâåðÿþ òåáÿ, ýòî íå îíà.;;x
EVTOPTA_GBC_10;[GBC_new_friend.GetSheHeCap] can talk to me when [GBC_new_friend.GetSheHe]'s ready.;;;;;;;;;;;Ìû ïîãîâîðèì, êîãäà [GBC_new_friend.GetSheHe] áóäåò ãîòîâ[GBC_new_friend.GetEndA].;;x
EVTOPTA_GBC_11;You should leave, now.;;;;;;;;;;;Ïðî÷ü èç ì[Root.GetMyChamberGEN]... Âûìåòàéñÿ!;;x
EVTOPTA_GBC_11_TOOLTIP;§Y[GBC_new_friend.GetFirstName]§! storms off, slamming the door behind [GBC_new_friend.GetHerHim].\n;;;;;;;;;;;§Y[GBC_new_friend.GetFirstName]§! óõîäèò, ãðîìêî õëîïíóâ äâåðüþ.\n;;x
EVTOPTA_GBC_12;Oh, please. I was never worried!;;;;;;;;;;;À ÿ çíàë[Root.GetEndA], ÷òî íå î ÷åì âîëíîâàòüñÿ!;;x
EVTOPTA_GBC_12_TOOLTIP;All is well.;;;;;;;;;;;Âñ¸ õîðîøî.;;x
EVTOPTA_GBC_13;May we meet again, [GBC_new_friend.GetFirstName].;;;;;;;;;;;Ïðîùàé, äðóã ìîé, ñêîðî óâèäèìñÿ...;;x
EVTOPTA_GBC_13_TOOLTIP;At least you have Hedwig.\n;;;;;;;;;;;Ïî êðàéíåé ìåðå ó Âàñ åñòü Ãåêàòà.\n;;x
EVTOPTA_GBC_17;Even the sun has its ups and downs.;;;;;;;;;;;Äàæå ñîëíöå ïîäíèìàåòñÿ è îïóñêàåòñÿ âðåìÿ îò âðåìåíè.;;x
EVTOPTA_GBC_17_TOOLTIP;The future may be uncertain, but at least you are by [GBC_new_friend.GetHerHis] side again.;;;;;;;;;;;Áóäóùåå íåîïðåäåë¸ííî, íî ïî êðàéíåé ìåðå Âû ñíîâà íà [GBC_new_friend.GetHersHis] ñòîðîíå.;;x
EVTOPTA_GBC_73;I suppose grief has brought us together.;;;;;;;;;;;Ïîëàãàþ, ãîðå îáúåäèíèëî íàñ.;;x
EVTOPTA_GBC_102;Is [gbc_lover.GetSheHe] the answer to my prayers?;;;;;;;;;;;[gbc_lover.GetSheHeCap] - îòâåò íà ìîè ìîëèòâû?;;x
