#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
# job_chancellor.txt
#########################
#
#	Chancellor events
#
#########################
# Attempt to improve relations with lord
evt_chancellor_001_title;Improved Relations with Lord;;;;;;;;;;;Óëó÷øåíèå îòíîøåíèé;;x
evt_chancellor_504_desc_a;My lord, your [Root.GetMyChancellorName] [FromFrom.GetTitledName] tried to encourage me to turn against my liege [From.Liege.GetTitledName]! This shameless act can not go unpunished and to stop further interference I have thus decided to imprison your [Root.GetMyChancellorName] for an indefinite period of time.\n\nSigned,\n[From.GetTitledName];;;;;;;;;;;Ìîé ïîâåëèòåëü, Âàø [Root.GetMyChancellorName] [FromFrom.GetTitledName] ïûòàëñÿ óáåäèòü ìåíÿ âûñòóïèòü ïðîòèâ ìîåãî ñþçåðåíà ïî èìåíè [From.Liege.GetTitledName]! Ýòîò áåññòûäíûé ïîñòóïîê íåëüçÿ îñòàâëÿòü áåçíàêàçàííûì è, ÷òîáû ïðåêðàòèòü äàëüíåéøåå âìåøàòåëüñòâî, [Root.GetMyChancellorName] çàêëþ÷¸í â òþðüìó íà íåîïðåäåë¸ííîå âðåìÿ.\n [From.GetTitledName];;x
evt_chancellor_504_option_a;Outrageous!;;;;;;;;;;;Âîçìóòèòåëüíî!;;x
# The local noble informs his liege about imprisonment
evt_chancellor_505_desc_a;My liege, I discovered that the [Root.GetChancellorName] of [FromFrom.Liege.GetTitledName] has been agitating in [From.Location.GetName], trying to turn us local nobles against you. Rest assure that his poisonous word has had no effect on me, and to make sure no more harm is done, I have imprisoned him.\n\nYour humble Vassal,\n[From.GetTitledName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], ÿ îáíàðóæèë, ÷òî [Root.GetMyChancellorName] [FromFrom.Liege.GetTitledName] ïðîâîäèë àãèòàöèþ â [From.Location.GetName], ïûòàÿñü îáðàòèòü ìåñòíóþ çíàòü ïðîòèâ Âàñ. Ìîæåòå áûòü óâåðåíû, ÷òî åãî ÿäîâèòàÿ êëåâåòà íå ïîâëèÿëà íà ìåíÿ, è ÷òîáû îí íå ïðè÷èíèë áîëüøåãî âðåäà, ÿ çàòî÷èë åãî.\n\nÂàø âåðíûé âàññàë,\n[From.GetTitledName];;x
evt_chancellor_505_option_a;[FromFrom.Liege.GetTitledName] will hear about this!;;;;;;;;;;;[FromFrom.Liege.GetTitledName] óçíàåò îá ýòîì!;;x
# The Chancellor's liege is informed about the reaction of the noble
evt_chancellor_506_desc_a;My lord, your [Root.GetChancellorName] [FromFrom.GetTitledName] has been trying to create unrest among the nobles in [From.Location.GetName] and tried to encourage me to turn against my liege [From.Liege.GetTitledName]! He failed miserably and I can assure you that this shameless act will not go by without consequences.\n\nSigned,\n[From.GetTitledName];;;;;;;;;;;Ñ íåãîäîâàíèåì ñîîáùàþ Âàì, ÷òî Âàø[FromFrom.GetEndA] ñîâåòíè[FromFrom.GetTsaK], [Root.GetChancellorName] [FromFrom.GetTitledFirstName], ÿâëÿåòñÿ ïðè÷èíîé âîëíåíèé ñðåäè [Root.Location.County.GetAdjective]ñêîé çíàòè. Íà [FromFrom.GetHersHis] ñîâåñòè òàêæå ïîïûòêà íàñòðîèòü ìåíÿ ïðîòèâ ìîå[From.Liege.GetYGo] [From.Liege.GetLordLadyGEN]. Ñåé÷àñ [FromFrom.GetHersHis] çàòåÿ ñ òðåñêîì ïðîâàëèëèñü è ÿ óâåðÿþ Âàñ, ÷òî ïîäîáíûé àêò àãðåññèè íå îñòàíåòñÿ áåç âíèìàíèÿ.\nÏîäïèñü:\n [From.GetTitledFirstName].;;x
evt_chancellor_506_option_a;This is not good...;;;;;;;;;;;Ýòî íå õîðîøî…;;x
# The local noble informs his liege about the Chancellor's doing
evt_chancellor_507_desc_a;My liege, I discovered that the [Root.GetChancellorName] of [FromFrom.Liege.GetTitledName] has been agitating in [From.Location.GetName], trying to turn us local nobles against you. Rest assure that his poisonous word has had no effect on me.\n\nYour humble Vassal,\n[From.GetTitledName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], ÿ îáíàðóæèë, ÷òî [Root.GetMyChancellorName] [FromFrom.Liege.GetTitledName] ïðîâîäèë àãèòàöèþ â [From.Location.GetName], ïûòàÿñü îáðàòèòü ìåñòíóþ çíàòü ïðîòèâ Âàñ. Ìîæåòå áûòü óâåðåíû, ÷òî åãî ÿäîâèòàÿ êëåâåòà íå ïîâëèÿëà íà ìåíÿ.\n\nÂàø âåðíûé âàññàë,\n[From.GetTitledName];;x
evt_chancellor_507_option_a;[FromFrom.Liege.GetTitledName] will hear about this!;;;;;;;;;;;[FromFrom.Liege.GetTitledName] óçíàåò îá ýòîì!;;x
# The Chancellor's liege is informed about the reaction of the noble's liege
evt_chancellor_508_desc_a;I have received word that your [Root.GetMyChancellorName] was trying to agitate the nobles of my realm by spreading lies about me in [FromFrom.Location.GetName]! Rest assure that this outrageous behavior will not stand!\n\nSigned,\n[From.GetTitledName];;;;;;;;;;;ß ïîëó÷èë èçâåñòèå, ÷òî Âàø [Root.GetMyChancellorName] ïûòàëñÿ àãèòèðîâàòü äâîðÿí ìîåé ñòðàíû, ðàñïðîñòðàíÿÿ ëîæü îáî ìíå â [FromFrom.Location.GetName]! Ìîæåòå áûòü óâåðåíû, ÷òî ýòîò áåññòûäíûé àêò íå îáîéä¸òñÿ áåç ïîñëåäñòâèé!\n\nÏîäïèñàíî,\n[From.GetTitledName];;x
evt_chancellor_508_option_a;Not what I had planned...;;;;;;;;;;;Íå òî, ÷òî ÿ ïëàíèðîâàë…;;x
# The Chancellor successfully increases the sentiment of the local clan
evt_chancellor_601_title;An Honorable Mention;;;;;;;;;;;Cêàçêè î ñëàâå;;x
evt_chancellor_601_desc_a;Most of the Clan elders are assembled in [Root.Location.GetName]. This is a golden opportunity to tell them about the great honor of [Root.Liege.GetTitledFirstNameNoRegnal]'s clan...;;;;;;;;;;;Ñåãîäíÿ [Root.Location.GetName] - ìåñòî âåëèêèõ âîçìîæíîñòåé. Ïî÷òè âñå êëàíîâûå ñòàðåéøèíû ñîáðàëèñü çäåñü. [Root.Liege.GetTitledFirstNameNoRegnal] - äîñòîéíåéøèé ÷åëîâåê, è ìîÿ îáÿçàííîñòü - ïîâåäàòü èì î âåëèêîé ñëàâå [Root.Liege.GetHersHis] êëàíà.;;x
evt_chancellor_601_option_a;Spin them such a tale...;;;;;;;;;;;" ""Î âåëèêèå ìóæè, ïîñëóøàéòå ìîé ðàññêàç...""";;x
evt_chancellor_601_option_b;What 'great honor'?;;;;;;;;;;;Î êàêîé òàêîé âåëèêîé ñëàâå? Íå çíàþ î òàêîì.;;x
# The liege is informed of the success
evt_chancellor_602_desc_a;My trusted [Root.GetChancellorName], [From.GetTitledFirstName], reports success from the Clan of [target_chief.Clan.GetBaseName]. Their elders now like the [Root.Clan.GetName] a lot better!;;;;;;;;;;;Ìîé âåðíûé [Root.GetChancellorName] [From.GetTitledFirstName] ñîîáùèë[From.GetEndA] îá óñïåõå. Êëàí [target_chief.Clan.GetName] ïîâåðèë [From.GetHersHis] ñêàçêàì, è òåïåðü åãî ñòàðåéøèíû îòíîñÿòñÿ ê êëàíó [Root.Clan.GetName] íàìíîãî ëó÷øå!;;x
